Model,Set,Criteria fulfilled (%),Predicted time of deliver (week),Prediction of PROM by DI-VNN,True time of delivery (average week)
PC-GBM,External random split,19.047619047619047,15,event,9
PC-GBM,External random split,19.047619047619047,15,nonevent,10
PC-GBM,External random split,19.047619047619047,16,event,2
PC-GBM,External random split,19.047619047619047,16,nonevent,13
PC-GBM,External random split,19.047619047619047,17,event,12
PC-GBM,External random split,19.047619047619047,17,nonevent,13
PC-GBM,External random split,19.047619047619047,18,event,39
PC-GBM,External random split,19.047619047619047,18,nonevent,22
PC-GBM,External random split,19.047619047619047,19,event,0
PC-GBM,External random split,19.047619047619047,19,nonevent,27
PC-GBM,External random split,19.047619047619047,20,event,6
PC-GBM,External random split,19.047619047619047,20,nonevent,27
PC-GBM,External random split,19.047619047619047,21,event,9
PC-GBM,External random split,19.047619047619047,21,nonevent,31
PC-GBM,External random split,19.047619047619047,22,nonevent,23
PC-GBM,External random split,19.047619047619047,23,nonevent,33
PC-GBM,External random split,19.047619047619047,24,nonevent,15
PC-GBM,External random split,19.047619047619047,25,nonevent,27
PC-GBM,External random split,19.047619047619047,26,nonevent,47
PC-GBM,External random split,19.047619047619047,27,nonevent,26
PC-GBM,External random split,19.047619047619047,28,nonevent,21
PC-GBM,External random split,19.047619047619047,29,nonevent,46
PC-GBM,External random split,19.047619047619047,30,nonevent,41
PC-GBM,External random split,19.047619047619047,32,nonevent,22
PC-GBM,External random split,19.047619047619047,33,nonevent,44
PC-GBM,External random split,19.047619047619047,34,nonevent,33
PC-GBM,External random split,19.047619047619047,35,nonevent,33
PC-GBM,External random split,19.047619047619047,36,nonevent,51
PC-GBM,External random split,19.047619047619047,37,nonevent,35
PC-GBM,External random split,19.047619047619047,38,nonevent,49
PC-GBM,External random split,19.047619047619047,39,nonevent,48
PC-GBM,External random split,19.047619047619047,40,nonevent,47
PC-GBM,External random split,19.047619047619047,41,nonevent,44
PC-GBM,External geographical split,14.285714285714285,0,event,0
PC-GBM,External geographical split,14.285714285714285,0,nonevent,1
PC-GBM,External geographical split,14.285714285714285,1,event,0
PC-GBM,External geographical split,14.285714285714285,1,nonevent,0
PC-GBM,External geographical split,14.285714285714285,2,event,0
PC-GBM,External geographical split,14.285714285714285,2,nonevent,1
PC-GBM,External geographical split,14.285714285714285,3,event,0
PC-GBM,External geographical split,14.285714285714285,3,nonevent,1
PC-GBM,External geographical split,14.285714285714285,4,event,0
PC-GBM,External geographical split,14.285714285714285,4,nonevent,1
PC-GBM,External geographical split,14.285714285714285,5,event,0
PC-GBM,External geographical split,14.285714285714285,5,nonevent,1
PC-GBM,External geographical split,14.285714285714285,6,event,0
PC-GBM,External geographical split,14.285714285714285,6,nonevent,3
PC-GBM,External geographical split,14.285714285714285,7,event,0
PC-GBM,External geographical split,14.285714285714285,7,nonevent,3
PC-GBM,External geographical split,14.285714285714285,8,event,0
PC-GBM,External geographical split,14.285714285714285,8,nonevent,3
PC-GBM,External geographical split,14.285714285714285,9,event,0
PC-GBM,External geographical split,14.285714285714285,9,nonevent,4
PC-GBM,External geographical split,14.285714285714285,10,event,2
PC-GBM,External geographical split,14.285714285714285,10,nonevent,3
PC-GBM,External geographical split,14.285714285714285,11,event,0
PC-GBM,External geographical split,14.285714285714285,11,nonevent,4
PC-GBM,External geographical split,14.285714285714285,12,event,1
PC-GBM,External geographical split,14.285714285714285,12,nonevent,5
PC-GBM,External geographical split,14.285714285714285,13,event,1
PC-GBM,External geographical split,14.285714285714285,13,nonevent,5
PC-GBM,External geographical split,14.285714285714285,14,event,8
PC-GBM,External geographical split,14.285714285714285,14,nonevent,8
PC-GBM,External geographical split,14.285714285714285,15,event,10
PC-GBM,External geographical split,14.285714285714285,15,nonevent,2
PC-GBM,External geographical split,14.285714285714285,16,event,15
PC-GBM,External geographical split,14.285714285714285,16,nonevent,11
PC-GBM,External geographical split,14.285714285714285,17,event,4
PC-GBM,External geographical split,14.285714285714285,17,nonevent,13
PC-GBM,External geographical split,14.285714285714285,18,event,5
PC-GBM,External geographical split,14.285714285714285,18,nonevent,12
PC-GBM,External geographical split,14.285714285714285,19,event,0
PC-GBM,External geographical split,14.285714285714285,19,nonevent,18
PC-GBM,External geographical split,14.285714285714285,20,event,3
PC-GBM,External geographical split,14.285714285714285,20,nonevent,24
PC-GBM,External geographical split,14.285714285714285,21,nonevent,22
PC-GBM,External geographical split,14.285714285714285,22,nonevent,26
PC-GBM,External geographical split,14.285714285714285,23,nonevent,28
PC-GBM,External geographical split,14.285714285714285,24,nonevent,26
PC-GBM,External geographical split,14.285714285714285,25,nonevent,13
PC-GBM,External geographical split,14.285714285714285,26,nonevent,11
PC-GBM,External geographical split,14.285714285714285,27,nonevent,46
PC-GBM,External geographical split,14.285714285714285,28,nonevent,4
PC-GBM,External geographical split,14.285714285714285,29,nonevent,2
PC-GBM,External geographical split,14.285714285714285,30,nonevent,2
PC-GBM,External geographical split,14.285714285714285,32,event,2
PC-GBM,External geographical split,14.285714285714285,32,nonevent,4
PC-GBM,External geographical split,14.285714285714285,33,nonevent,3
PC-GBM,External geographical split,14.285714285714285,34,nonevent,1
PC-GBM,External geographical split,14.285714285714285,35,nonevent,5
PC-GBM,External geographical split,14.285714285714285,36,nonevent,8
PC-GBM,External geographical split,14.285714285714285,37,nonevent,6
PC-GBM,External geographical split,14.285714285714285,40,nonevent,24
PC-GBM,External temporal split,11.904761904761903,0,event,11
PC-GBM,External temporal split,11.904761904761903,0,nonevent,3
PC-GBM,External temporal split,11.904761904761903,1,event,0
PC-GBM,External temporal split,11.904761904761903,1,nonevent,1
PC-GBM,External temporal split,11.904761904761903,2,event,4
PC-GBM,External temporal split,11.904761904761903,2,nonevent,5
PC-GBM,External temporal split,11.904761904761903,3,event,3
PC-GBM,External temporal split,11.904761904761903,3,nonevent,3
PC-GBM,External temporal split,11.904761904761903,4,event,3
PC-GBM,External temporal split,11.904761904761903,4,nonevent,4
PC-GBM,External temporal split,11.904761904761903,5,event,0
PC-GBM,External temporal split,11.904761904761903,5,nonevent,5
PC-GBM,External temporal split,11.904761904761903,6,event,7
PC-GBM,External temporal split,11.904761904761903,6,nonevent,5
PC-GBM,External temporal split,11.904761904761903,7,event,1
PC-GBM,External temporal split,11.904761904761903,7,nonevent,8
PC-GBM,External temporal split,11.904761904761903,8,event,2
PC-GBM,External temporal split,11.904761904761903,8,nonevent,6
PC-GBM,External temporal split,11.904761904761903,9,event,1
PC-GBM,External temporal split,11.904761904761903,9,nonevent,8
PC-GBM,External temporal split,11.904761904761903,10,event,3
PC-GBM,External temporal split,11.904761904761903,10,nonevent,7
PC-GBM,External temporal split,11.904761904761903,11,event,0
PC-GBM,External temporal split,11.904761904761903,11,nonevent,8
PC-GBM,External temporal split,11.904761904761903,12,event,1
PC-GBM,External temporal split,11.904761904761903,12,nonevent,8
PC-GBM,External temporal split,11.904761904761903,13,event,7
PC-GBM,External temporal split,11.904761904761903,13,nonevent,10
PC-GBM,External temporal split,11.904761904761903,14,event,7
PC-GBM,External temporal split,11.904761904761903,14,nonevent,3
PC-GBM,External temporal split,11.904761904761903,15,event,2
PC-GBM,External temporal split,11.904761904761903,15,nonevent,10
PC-GBM,External temporal split,11.904761904761903,16,event,4
PC-GBM,External temporal split,11.904761904761903,16,nonevent,11
PC-GBM,External temporal split,11.904761904761903,17,event,2
PC-GBM,External temporal split,11.904761904761903,17,nonevent,21
PC-GBM,External temporal split,11.904761904761903,18,event,0
PC-GBM,External temporal split,11.904761904761903,18,nonevent,15
PC-GBM,External temporal split,11.904761904761903,19,event,5
PC-GBM,External temporal split,11.904761904761903,19,nonevent,10
PC-GBM,External temporal split,11.904761904761903,20,event,3
PC-GBM,External temporal split,11.904761904761903,20,nonevent,14
PC-GBM,External temporal split,11.904761904761903,21,event,0
PC-GBM,External temporal split,11.904761904761903,21,nonevent,11
PC-GBM,External temporal split,11.904761904761903,22,event,0
PC-GBM,External temporal split,11.904761904761903,22,nonevent,4
PC-GBM,External temporal split,11.904761904761903,23,nonevent,8
PC-GBM,External temporal split,11.904761904761903,24,event,0
PC-GBM,External temporal split,11.904761904761903,24,nonevent,9
PC-GBM,External temporal split,11.904761904761903,25,event,0
