Information,Description
Ontology array z07,x7.y5 -0.015 
Ontology array z07,x7.y6 0.031 
Ontology array z07,x7.y7 0.055 
Ontology array z07,x6.y1 -0.057 
Ontology array z07,x6.y2 -0.025 
Ontology array z07,x6.y3 0.08 (Z012)
Ontology array z07,x6.y4 -0.095 
Ontology array z07,x6.y5 -0.068 
Ontology array z07,x6.y6 -0.003 
Ontology array z07,x6.y7 0.025 
Ontology array z07,x5.y1 -0.049 
Ontology array z07,x5.y2 -0.172 
Ontology array z07,x5.y3 -0.063 
Ontology array z07,x5.y4 -0.031 
Ontology array z07,x5.y5 0.202 
Ontology array z07,x5.y6 -0.04 (causal_A10)
Ontology array z07,x5.y7 0.022 
Ontology array z07,x4.y1 -0.021 
Ontology array z07,x4.y2 0.1 
Ontology array z07,x4.y3 -0.06 
Ontology array z07,x4.y4 -0.084 (Z479)
Ontology array z07,x4.y5 -0.172 
Ontology array z07,x4.y6 -0.129 
Ontology array z07,x4.y7 0.109 
Ontology array z07,x3.y1 0.05 
Ontology array z07,x3.y2 0.046 
Ontology array z07,x3.y3 -0.145 
Ontology array z07,x3.y4 0.078 
Ontology array z07,x3.y5 0.034 (I219)
Ontology array z07,x3.y6 -0.169 
Ontology array z07,x3.y7 -0.03 
Ontology array z07,x2.y1 -0.069 
Ontology array z07,x2.y2 0.142 (H522)
Ontology array z07,x2.y3 0.033 
Ontology array z07,x2.y4 -0.146 
Ontology array z07,x2.y5 -0.114 
Ontology array z07,x2.y6 -0.191 
Ontology array z07,x2.y7 0.078 
Ontology array z07,x1.y1 -0.034 
Ontology array z07,x1.y2 0.024 
Ontology array z07,x1.y3 0.019 
Ontology array z07,x1.y4 -0.027 
Ontology array z07,x1.y5 -0.097 (causal_A06)
Ontology array z07,x1.y6 -0.066 
Ontology array z07,x1.y7 -0.014 
Ontology array z08,x7.y1 -0.054 
Ontology array z08,x7.y2 0.003 
Ontology array z08,x7.y3 0.108 
Ontology array z08,x7.y4 0.089 
Ontology array z08,x7.y5 0.183 
Ontology array z08,x7.y6 0.053 
Ontology array z08,x7.y7 0.09 
Ontology array z08,x6.y1 0.014 
Ontology array z08,x6.y2 0.126 
Ontology array z08,x6.y3 0.15 (D500)
Ontology array z08,x6.y4 0.207 
Ontology array z08,x6.y5 0.029 
Ontology array z08,x6.y6 0.19 
Ontology array z08,x6.y7 0.031 
Ontology array z08,x5.y1 0.097 
Ontology array z08,x5.y2 0.074 
Ontology array z08,x5.y3 0.119 
Ontology array z08,x5.y4 -0.032 
Ontology array z08,x5.y5 0.137 
Ontology array z08,x5.y6 0.047 (9616)
Ontology array z08,x5.y7 0.167 
Ontology array z08,x4.y1 -0.032 
Ontology array z08,x4.y2 0.195 
Ontology array z08,x4.y3 0.121 
Ontology array z08,x4.y4 0.114 (L024)
Ontology array z08,x4.y5 0.067 
Ontology array z08,x4.y6 -0.055 
Ontology array z08,x4.y7 0.133 
Ontology array z08,x3.y1 0.108 
Ontology array z08,x3.y2 0.068 
Ontology array z08,x3.y3 0.01 
Ontology array z08,x3.y4 0.026 
Ontology array z08,x3.y5 0.132 (R12)
Ontology array z08,x3.y6 -0.021 
Ontology array z08,x3.y7 0.174 
Ontology array z08,x2.y1 0.122 
Ontology array z08,x2.y2 0.13 (9139)
Ontology array z08,x2.y3 0.248 
Ontology array z08,x2.y4 0.198 
Ontology array z08,x2.y5 0.088 
Ontology array z08,x2.y6 0.063 
Ontology array z08,x2.y7 0.095 
Ontology array z08,x1.y1 0.097 
Ontology array z08,x1.y2 0.115 
Ontology array z08,x1.y3 0.094 
Ontology array z08,x1.y4 0.322 
Ontology array z08,x1.y5 0.216 
Ontology array z08,x1.y6 0.273 
Ontology array z08,x1.y7 0.176 
Ontology array z09,x7.y1 0.116 
Ontology array z09,x7.y2 0.031 
Ontology array z09,x7.y3 0.019 
Ontology array z09,x7.y4 -0.041 
Ontology array z09,x7.y5 0.232 
Ontology array z09,x7.y6 0.18 
Ontology array z09,x7.y7 0.239 
Ontology array z09,x6.y1 0.1 
Ontology array z09,x6.y2 -0.142 
Ontology array z09,x6.y3 -0.159 (Z380)
Ontology array z09,x6.y4 0.151 
Ontology array z09,x6.y5 -0.021 
